special_id,canonical_or_tag,old_verdict,refined_verdict,refined_reason,general_overlap,previous_product_fit_verdict,general_discoverability_note,provenance_note,initial_reason
801,penis in panties,NEEDS_REVIEW,KEEP_SPECIAL,penis in pantiesは通常の服ではなく、性器/乳房の特殊露出・遮蔽・衣服越し接触を指定するfetish-specific visual state。,YES,KEEP,General exact canonical=penis_in_panties; 日本語表示=パンティーの中のペニス; 日本語search=パンティーのペニス; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
805,paizuri invitation,NEEDS_REVIEW,KEEP_SPECIAL,paizuri invitationはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=paizuri_invitation; 日本語表示=谷間くぱぁ; 日本語search=谷間くぱぁ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
806,penis on stomach,NEEDS_REVIEW,KEEP_SPECIAL,penis on stomachはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=penis_on_stomach; 日本語表示=腹部に乗った陰茎; 日本語search=腹部の陰茎; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
809,implied incest,NEEDS_REVIEW,KEEP_SPECIAL,implied incestはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=implied_incest; 日本語表示=近親相姦を示唆; 日本語search=近親相姦を示唆; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
813,lipstick mark on testicles,NEEDS_REVIEW,KEEP_SPECIAL,lipstick mark on testiclesはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=lipstick_mark_on_testicles; 日本語表示=玉キスマーク; 日本語search=玉キスマーク; #64 browse path=COLOR_APPEARANCE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
815,penis on head,NEEDS_REVIEW,KEEP_SPECIAL,penis on headはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=penis_on_head; 日本語表示=頭に乗ったペニス; 日本語search=頭のペニス; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
819,colored pussy,NEEDS_REVIEW,KEEP_SPECIAL,colored pussyはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=colored_pussy; 日本語表示=色付きの女性器; 日本語search=色付きの女性器; #64 browse path=BODY_PART.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
820,implied paizuri,NEEDS_REVIEW,KEEP_SPECIAL,implied paizuriはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=implied_paizuri; 日本語表示=暗黙のパイズリ; 日本語search=暗黙のパイズリ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
823,penis over one eye,NEEDS_REVIEW,KEEP_SPECIAL,penis over one eyeはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=penis_over_one_eye; 日本語表示=片目にペニス; 日本語search=片目にペニス; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
824,onahole job,NEEDS_REVIEW,KEEP_SPECIAL,onahole jobはsex toy・piercing・特殊器具またはbody-siteに結びついたimplement。General object browseだけでは独立した深掘り発見価値を代替できない。,YES,KEEP,General exact canonical=onahole_job; 日本語表示=オナホコキ; 日本語search=オナホコキ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
