scope,key,home_copyright,base_character,authority_type,evidence_url,evidence_claim,validation_state,officiality_state,notes
DIRECT_CHARACTER,felicia_hardy,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/black-cat-felicia-hardy/in-comics/profile,"Marvel's official profile identifies Felicia Hardy as Black Cat and describes her character history in the Marvel Universe.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party character profile directly identifies Felicia Hardy as Marvel's Black Cat; no relationship-based HOME inference."
DIRECT_CHARACTER,gwenpool,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/gwenpool/in-comics/,"Marvel's official in-comics profile identifies Gwen Poole as Gwenpool and describes her Marvel Universe origin.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party profile directly names Gwen Poole/Gwenpool and the Marvel Universe setting."
DIRECT_CHARACTER,mary_jane_watson,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/mary-jane-watson,"Marvel's official profile identifies Mary Jane Watson and recounts her Marvel Universe character history.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. Marvel first-party character profile directly establishes the named Mary Jane Watson character."
DIRECT_CHARACTER,miguel_o'hara,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/spider-man-2099-miguel-o-hara,"Marvel's official profile identifies Miguel O'Hara as Spider-Man 2099 and describes his Marvel Universe story.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party character profile directly identifies Miguel O'Hara; decision is limited to the exact accepted tag."
DIRECT_CHARACTER,ultron,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/comics/guides/188/ultron_the_living_automaton,"Marvel's official guide identifies Ultron as the sentient artificial intelligence created by Hank Pym and a recurring Avengers antagonist.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. Marvel first-party character guide directly establishes Ultron's Marvel character identity."
DIRECT_CHARACTER,wiccan,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/wiccan/,"Marvel's official profile identifies William Billy Kaplan as Wiccan and describes his Young Avengers character history.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party Marvel character profile directly names Wiccan/Billy Kaplan and his Marvel identity."
DIRECT_CHARACTER,winter_soldier,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/articles/comics/the-story-that-turned-bucky-barnes-into-the-winter-soldier,"Marvel's official history describes Bucky Barnes becoming the Winter Soldier and discusses his Captain America stories.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party Marvel article explicitly establishes the Winter Soldier identity as Bucky Barnes in Marvel's comics history."
DIRECT_CHARACTER,yelena_belova,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/yelena-belova,"Marvel's official profile names Yelena Belova and describes her history as a Black Widow character.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party character profile directly names Yelena Belova; not conflated with Natasha Romanoff or assigned via shared mantle."
DIRECT_CHARACTER,mayday_parker,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/spider-girl-may-mayday-parker,"Marvel's official Spider-Girl profile identifies May Mayday Parker and describes her character history in Marvel's MC2 universe.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party profile gives the exact Mayday Parker identity and Marvel universe context; not generalized to other Spider-Girl bearers."
DIRECT_CHARACTER,human_torch,marvel,,OFFICIAL_MARVEL_CHARACTER_PROFILE,https://www.marvel.com/characters/human-torch-johnny-storm/in-comics/,"Marvel's official in-comics profile identifies Jonathan Johnny Storm as the Human Torch and a member of the Fantastic Four.",PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-24. First-party in-comics profile establishes the named Human Torch character in Marvel; no team-wide inheritance applied."
