review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
676,build_driver,YES,仮面ライダービルドの変身ベルト「ビルドドライバー」,MIXED,TOOL_OBJECT,CORE,変身用の装置・小道具として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/build_driver""]",Danbooru wikiで仮面ライダービルドの変身ベルトであることを確認。
679,naked_belt,YES,ベルトだけを着用し、それ以外は裸の状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の着用状態・露出として探すのが自然,,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,RESEARCHED,"[""https://tags.latent.moe/en/t/naked_belt""]",Danbooru由来のwiki転載で「ベルトのみ着用」の定義を確認。
682,g-clef_(precure),YES,『スイートプリキュア♪』のト音記号とハートを組み合わせた固有シンボル,MIXED,TEXT_SYMBOL,CORE,記号・シンボルとして探すのが自然,,,,,,,,"[""TEXT_SYMBOL/SYMBOL""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/g-clef_(precure)""]",作品固有記号の形状と用途をDanbooru wikiで確認。
685,downcast_eyes,YES,目線を下に向けた状態,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,視線方向として探すのが自然,,,,,,,,"[""GAZE_ORIENTATION/""]",[],[],NO,,CHECKED,[],
688,drawn_tail,YES,実際の尻尾ではなく、画像上に描き足された尻尾,BROWSE_WORTHY,STYLE_PROCESSING,CORE,描き足し・加工表現として探すのが自然,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/posts/10908829?q=parent%3A9540029""]",Danbooru投稿上でdrawn horns等の描き足し表現と併用される用例を確認。
691,jimiko,YES,地味で控えめ・目立たない外見の女性キャラクター類型,BROWSE_WORTHY,HAIR_FACE,CORE,人物の外見的な印象・顔髪系の特徴から探すのが比較的自然,,,,,,,,[],[],[],YES,髪・顔だけでなく人物全体の地味で控えめな外見類型を直接表す上位routeがない,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/jimiko""]",Danbooru wikiでplain/mousy/unassuming appearanceを指す類型と確認。
694,dog_hair_ornament,YES,犬をモチーフにした髪飾り,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,装身具・髪飾りとして探すのが自然,,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
697,kendo,YES,剣道をしている・剣道を題材にした状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,人物の行為・競技として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
700,black_gloves,YES,黒色の手袋,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服・装身具として探すのが自然,,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
703,labia_clamps,YES,陰唇を挟むクランプ型の成人向け器具,BROWSE_WORTHY,TOOL_OBJECT,CORE,性具・器具として探すのが自然,,,,,,,,[],"[""FEMALE_GENITAL""]",[],NO,,RESEARCHED,"[""https://huggingface.co/datasets/deepghs/site_tags/commit/7013f67e3544cef146d1114aaec6beb31a2670e6""]",Danbooruタグデータ由来のaliasでpussy_clamp/pussy_clampsがlabia_clampsに対応することを確認。
706,pokemon_tail,YES,ポケモンを模した尻尾,BROWSE_WORTHY,NONHUMAN_TRANSFORM,CORE,人外・動物的な身体特徴として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
