row_id,canonical_tag,category,post_count,current_display_ja,current_status,audit_verdict,proposed_display_ja,proposed_search_ja,reason,confidence,evidence_url,audit_method
I70-036093,naruto_(classic),Copyright,9974,ナルト,REVIEW_REQUIRED,FIX_BOTH,NARUTO -ナルト-,NARUTO -ナルト- | ナルト,Canonical specifically distinguishes the pre-Shippuden property; bare ナルト loses that identity.,MEDIUM,,source_evidence+semantic_scope
I70-036099,smile_precure!,Copyright,9457,スマイルプリキュア,REVIEW_REQUIRED,FIX_BOTH,スマイルプリキュア！,スマイルプリキュア！ | スマプリ,Restore the official exclamation mark and retain common abbreviation for search.,MEDIUM,,source_evidence
I70-036100,oshi_no_ko,Copyright,9405,【推しの子】,REVIEW_REQUIRED,KEEP,,,Current display matches the established Japanese title and source evidence.,MEDIUM,,source_evidence
I70-036101,undertale,Copyright,9284,あんだーてーる,REVIEW_REQUIRED,FIX_BOTH,UNDERTALE,UNDERTALE | アンダーテール,Official Japanese site uses UNDERTALE; current hiragana surface is nonstandard.,HIGH,https://undertale.jp/,official_web+source_evidence
I70-036102,steins;gate,Copyright,9250,シュタインズゲート,REVIEW_REQUIRED,FIX_BOTH,STEINS;GATE,STEINS;GATE | シュタインズ・ゲート | シュタゲ,Official property branding is STEINS;GATE; source evidence supplies established Japanese reading and abbreviation.,MEDIUM,,source_evidence+brand_identity
I70-036103,the_legend_of_zelda:_tears_of_the_kingdom,Copyright,9249,ゼルダの伝説ティアーズオブザキングダム,REVIEW_REQUIRED,FIX_BOTH,ゼルダの伝説 ティアーズ オブ ザ キングダム,ゼルダの伝説 ティアーズ オブ ザ キングダム | ティアーズ オブ ザ キングダム | ティアキン,Normalize to the official Japanese spaced title and retain common abbreviation.,MEDIUM,,source_evidence
I70-036104,a.i._voice,Copyright,9205,アイボス,REVIEW_REQUIRED,FIX_BOTH,A.I.VOICE,A.I.VOICE | アイボス,Current display is only the community abbreviation; canonical product identity is A.I.VOICE.,MEDIUM,,source_evidence+brand_identity
I70-036106,panty_&_stocking_with_garterbelt,Copyright,9093,パンスト,REVIEW_REQUIRED,FIX_BOTH,Panty & Stocking with Garterbelt,Panty & Stocking with Garterbelt | パンティ&ストッキングwithガーターベルト | パンスト,Current display is only an abbreviation; use the work identity and retain Japanese/common abbreviation for search.,MEDIUM,,source_evidence+brand_identity
I70-036108,street_fighter_6,Copyright,9058,スト6,REVIEW_REQUIRED,FIX_BOTH,ストリートファイター6,ストリートファイター6 | スト6,Capcom uses ストリートファイター6; current display is only the common abbreviation.,HIGH,https://www.capcom.co.jp/ir/news/html/260609.html,official_web+source_evidence
I70-036109,kobayashi-san_chi_no_maidragon,Copyright,9032,メイドラゴン,REVIEW_REQUIRED,FIX_BOTH,小林さんちのメイドラゴン,小林さんちのメイドラゴン | メイドラゴン,Source evidence contains the full Japanese title; current display is shortened.,MEDIUM,,source_evidence
I70-036110,aikatsu!_(series),Copyright,9018,アイカツ,REVIEW_REQUIRED,FIX_BOTH,アイカツ！シリーズ,アイカツ！シリーズ | アイカツ！ | アイカツ,Canonical is the series umbrella; make series scope visible and preserve common query forms.,MEDIUM,,source_evidence+semantic_scope
I70-036111,ace_attorney,Copyright,9004,逆転裁判,REVIEW_REQUIRED,KEEP,,,Current display is the established Japanese franchise title.,MEDIUM,,source_evidence
I70-036113,yuruyuri,Copyright,8873,ゆるゆり,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese title.,MEDIUM,,source_evidence
I70-036114,mushoku_tensei,Copyright,8753,無職転生,REVIEW_REQUIRED,KEEP,,,Current display is the established Japanese series identity and is not a misleading subset.,MEDIUM,,source_evidence
I70-036115,gridman_universe,Copyright,8744,古立特宇宙,REVIEW_REQUIRED,FIX_BOTH,グリッドマン ユニバース,グリッドマン ユニバース | GRIDMAN UNIVERSE,Current display is a Chinese rendering rather than the Japanese work title.,HIGH,https://ssss-movie.net/,official_web+source_evidence
I70-036116,punishing:_gray_raven,Copyright,8680,パニグレ,REVIEW_REQUIRED,FIX_BOTH,パニシング：グレイレイヴン,パニシング：グレイレイヴン | パニグレ,Current display is only the common abbreviation; source evidence supplies the full Japanese localized title.,MEDIUM,,source_evidence
I70-036118,love_live!_superstar!!,Copyright,8540,ハロー!!!ラブライブ!,REVIEW_REQUIRED,FIX_BOTH,ラブライブ！スーパースター!!,ラブライブ！スーパースター!! | ラブライブスーパースター | Liella!,Current display is a different campaign/project phrase and not the canonical work title.,HIGH,https://www.lovelive-anime.jp/yuigaoka/,official_web+source_evidence
I70-036120,bakemonogatari,Copyright,8464,化物語,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese title.,MEDIUM,,source_evidence
I70-036121,stellive,Copyright,8453,stellive,REVIEW_REQUIRED,FIX_BOTH,STELLIVE,STELLIVE,Preserve the proper-name brand identity and casing rather than a lowercased surface.,MEDIUM,,identity_normalization
I70-036122,hunter_x_hunter,Copyright,8441,ハンター×ハンター,REVIEW_REQUIRED,FIX_BOTH,HUNTER×HUNTER,HUNTER×HUNTER | ハンター×ハンター | ハンターハンター,Official title is HUNTER×HUNTER; retain Japanese phonetic queries in search.,HIGH,https://sp.shonenjump.com/j/rensai/hunter/,official_web+source_evidence
I70-036123,x-men,Copyright,8432,X-メン,REVIEW_REQUIRED,FIX_BOTH,X-MEN,X-MEN | X-メン | エックスメン,Use the canonical official brand surface while retaining Japanese localized queries.,MEDIUM,,brand_identity+source_evidence
I70-036124,twisted_wonderland,Copyright,8375,ツイステ,REVIEW_REQUIRED,FIX_BOTH,ディズニー ツイステッドワンダーランド,ディズニー ツイステッドワンダーランド | ツイステッドワンダーランド | ツイステ,Official Japanese property name is the full ディズニー ツイステッドワンダーランド; current display is only an abbreviation.,HIGH,https://www.bandai.co.jp/character/twisted-wonderland.php,official_web+source_evidence
I70-036125,gundam_gquuuuuux,Copyright,8358,機動戦士ガンダムジークアクス,REVIEW_REQUIRED,FIX_BOTH,機動戦士Gundam GQuuuuuuX,機動戦士Gundam GQuuuuuuX | ジークアクス | 機動戦士ガンダムジークアクス,Official Japanese title deliberately uses Gundam GQuuuuuuX in Latin script; keep ジークアクス as search reading.,HIGH,https://gundam-official.com/gquuuuuux/,official_web+source_evidence
I70-036126,sanrio,Copyright,8318,サンリオ,REVIEW_REQUIRED,KEEP,,,Current display is the established Japanese identity.,MEDIUM,,source_evidence
I70-036127,the_hundred_line_-last_defense_academy-,Copyright,8310,ハンドラ,REVIEW_REQUIRED,FIX_BOTH,HUNDRED LINE -最終防衛学園-,HUNDRED LINE -最終防衛学園- | ハンドラ,Official title is HUNDRED LINE -最終防衛学園-; current display is only an abbreviation.,HIGH,https://hundred-line.com/,official_web+source_evidence
I70-036128,metroid,Copyright,8308,メトロイド,REVIEW_REQUIRED,KEEP,,,Current display is the established Japanese franchise title.,MEDIUM,,source_evidence
I70-036130,synthesizer_v,Copyright,8176,シンセサイザーv,REVIEW_REQUIRED,FIX_BOTH,Synthesizer V,Synthesizer V | シンセサイザーV,Preserve official product branding/casing and retain Japanese phonetic query.,MEDIUM,,brand_identity+source_evidence
I70-036132,sono_bisque_doll_wa_koi_wo_suru,Copyright,8040,その着せ替え人形は恋をする,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese title; 着せ恋 can remain a later search enrichment candidate but display is sound.,MEDIUM,,source_evidence
I70-036133,to_heart_(series),Copyright,7997,to heart (series),REVIEW_REQUIRED,FIX_BOTH,ToHeartシリーズ,ToHeartシリーズ | ToHeart | トゥハート,Current display exposes raw canonical formatting; use a readable series surface while preserving product identity.,MEDIUM,,semantic_scope
I70-036134,fatal_fury,Copyright,7980,餓狼,REVIEW_REQUIRED,FIX_BOTH,餓狼伝説,餓狼伝説 | 餓狼,Source candidate evidence contains the established Japanese franchise title; current display is truncated.,MEDIUM,,source_evidence
I70-036136,saki_(manga),Copyright,7774,咲,REVIEW_REQUIRED,FIX_BOTH,咲-Saki-,咲-Saki- | 咲,Canonical work title is conventionally styled 咲-Saki-; bare 咲 is overly lossy.,MEDIUM,,source_evidence
I70-036137,kemono_friends_3,Copyright,7634,けものフレンズ3,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese product title.,MEDIUM,,source_evidence
I70-036138,hibike!_euphonium,Copyright,7618,響け!ユーフォニアム,REVIEW_REQUIRED,FIX_BOTH,響け！ユーフォニアム,響け！ユーフォニアム | 響けユーフォニアム,Normalize ASCII punctuation to the Japanese title surface.,MEDIUM,,source_evidence
I70-036139,nanashi_inc.,Copyright,7593,ななしいんく,REVIEW_REQUIRED,KEEP,,,Current display matches the Japanese brand identity.,MEDIUM,,source_evidence
I70-036140,tiger_&_bunny,Copyright,7548,タイガーアンドバニー,REVIEW_REQUIRED,FIX_BOTH,TIGER & BUNNY,TIGER & BUNNY | タイガーアンドバニー | タイバニ,Use official brand title while retaining established Japanese reading and abbreviation for search.,MEDIUM,,brand_identity+source_evidence
I70-036141,marvel_rivals,Copyright,7547,マーベルライバルズ,REVIEW_REQUIRED,FIX_BOTH,マーベル・ライバルズ,マーベル・ライバルズ | マーベルライバルズ,Normalize to the Japanese localized title punctuation.,MEDIUM,,source_evidence
I70-036142,to_love-ru,Copyright,7494,ToLoveる,REVIEW_REQUIRED,FIX_BOTH,To LOVEる -とらぶる-,To LOVEる -とらぶる- | To LOVEる | とらぶる,Current display is a malformed compact surface; use the established Japanese work styling.,MEDIUM,,source_evidence
I70-036143,pixiv_fantasia,Copyright,7486,pixivファンタジア,REVIEW_REQUIRED,KEEP,,,Current display is a clear Japanese project identity and source evidence agrees.,MEDIUM,,source_evidence
I70-036144,apex_legends,Copyright,7360,Apexモバイル,REVIEW_REQUIRED,FIX_BOTH,エーペックスレジェンズ,エーペックスレジェンズ | Apex Legends | APEX,Current display incorrectly identifies the separate mobile version. EA's Japanese site identifies the canonical property as エーペックスレジェンズ.,HIGH,https://www.ea.com/ja/games/apex-legends/apex-legends,official_web+source_evidence
I70-036146,warship_girls_r,Copyright,7323,戦艦少女,REVIEW_REQUIRED,FIX_BOTH,戦艦少女R,戦艦少女R | 戦艦少女,Current display drops the R identity present in canonical/source evidence.,MEDIUM,,source_evidence
