canonical,old_display_ja,new_display_ja,reason
shoe_dangle,靴・dangle,足からぶら下がる靴,SEMANTIC_CLARIFICATION
animal_band,動物・band,動物バンド,MALFORMED_MIXED_LANGUAGE
body_onahole,身体・onahole,身体付きオナホール,SEMANTIC_CLARIFICATION
bouncing_flat_chest,bouncing・flat・胸,揺れる平らな胸,MALFORMED_MIXED_LANGUAGE
breast_pile,胸・pile,胸の積み重なり,MALFORMED_MIXED_LANGUAGE
breastless_ghost_costume,breastless・ghost・衣装,胸なし幽霊衣装,MALFORMED_MIXED_LANGUAGE
cafe_lycoreco_uniform,cafe lycorecoの制服,喫茶リコリコの制服,MALFORMED_MIXED_LANGUAGE
cafe_mew_mew_uniform,cafe mew mewの制服,カフェミュウミュウの制服,MALFORMED_MIXED_LANGUAGE
double_inward_v,二重のinward・v,二重の内向きVサイン,MALFORMED_MIXED_LANGUAGE
full-body_clothes_hanger,full・身体・服・hanger,全身衣装用ハンガー,SEMANTIC_CORRECTION
hasu_no_sora_pop_up_shop_china_collection,hasu・no・sora・pop・上向きのshop・china・collection,蓮ノ空POP UP SHOP チャイナコレクション,MACHINE_COMPOSITION_ERROR
heart-shift_bracelets,ハート・shift・bracelets,Heart-Shiftブレスレット,MALFORMED_MIXED_LANGUAGE
love_live!_victory_flag,love live! victoryの旗,ラブライブ！優勝旗,MALFORMED_MIXED_LANGUAGE
open_onesie,開いた・onesie,前を開けたワンジー,MALFORMED_MIXED_LANGUAGE
two-tone_pantyhose,two toneのパンスト,ツートンカラーのパンスト,MALFORMED_MIXED_LANGUAGE
wi-fi_symbol,wifiシンボル,Wi-Fiマーク,MALFORMED_MIXED_LANGUAGE
