proposed_special_id,canonical_tag,post_count,proposed_layer,canonical_aliases,concept_area,nearest_existing_special,issue94_reason,kind_id,body_site_ids,theme_ids,display_ja,search_ja,browse_status,duplicate_guard,validation_status,source_issue94_commit,source_candidate_blob,notes
2789,clothes_lift,286238,Core,,BOUNDARY_CONCEPT,clothes aside (SpecialID 2653; score=0.566),specific clothing-lift/exposure action; Special has adjacent clothes adjustment/removal identities but not the lift relation itself,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2790,skindentation,161742,Core,,GENERAL_OTHER,fellatio (SpecialID 104; score=0.214),distinct body-surface/shape discovery concept,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2791,thick_thighs,159807,Core,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,GENERAL_OTHER,thick penis (SpecialID 1382; score=0.555),specific body-morphology identity; Special has detailed morphology families but no thigh-thickness identity,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2793,clothes_pull,108268,Core,,BOUNDARY_CONCEPT,clit pull (SpecialID 1567; score=0.585),"real clothing-manipulation canonical, but Special clothes grab/adjusting clothes may already cover much of the discovery intent",,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2794,thigh_gap,97349,Core,,GENERAL_OTHER,thigh job (SpecialID 1641; score=0.542),distinct body-shape visual concept,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2795,lifting_own_clothes,88148,Core,lifted_by_self,GENERAL_OTHER,living clothes (SpecialID 1870; score=0.580),self-actor + clothing-lift relation is more specific than generic clothes adjustment/removal,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2796,breast_press,68311,Core,,SPECIAL_BODY_RELATION_STATE,breast (SpecialID 2632; score=0.750),specific body-contact/action concept rather than ordinary anatomy,,BREAST_NIPPLE,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,"body-relation family spans action/contact, pose and body-state homes"
2803,breasts_squeezed_together,37542,Core,breast_squeeze|breasts_squeeze,SPECIAL_BODY_RELATION_STATE,breasts (SpecialID 2170; score=0.614),specific breast-position/compression state useful for body/pose discovery,,BREAST_NIPPLE,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,"body-relation family spans action/contact, pose and body-state homes"
2804,huge_ass,36503,Core,thick_ass|big_ass|big_butt,GENERAL_OTHER,ass (SpecialID 2359; score=0.695),specific body-morphology identity; Special already treats other huge anatomy variants as deep dictionary entries,,BUTTOCK_ANAL,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
2809,pov_crotch,31126,Core,,GENERAL_OTHER,crotch (SpecialID 2361; score=0.787),specific camera/body-site composition identity,,,,,,REVIEW_REQUIRED,PENDING_CURRENT_SPECIAL_CHECK,TAXONOMY_REVIEW_REQUIRED,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,human-override/boundary family requires explicit semantic-home review
