row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003061,takamiya_rion,1102,鷹宮リオン,鷹宮リオン,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003080,roon_(azur_lane),1093,ローン,ローン | ローン(アズールレーン),KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003128,haibara_ai,1077,灰原哀,灰原哀,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003153,ghislaine_dedoldia,1068,ギレーヌ・デドルディア,ギレーヌ・デドルディア | ギレーヌ,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003161,sei_shounagon_(fate),1067,清少納言,清少納言 | 清少納言(Fate) | キラキラのアーチャー,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003214,hange_zoe,1045,ハンジ・ゾエ,ハンジ・ゾエ | ハンジ,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003215,horikawa_kunihiro,1045,堀川国広,堀川国広,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003218,serperior,1045,ジャローダ,ジャローダ,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003240,leona_kingscholar,1036,レオナ・キングスカラー,レオナ・キングスカラー,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
I70-003272,estelle_bright,1026,エステル・ブライト,エステル・ブライト,KEEP,,,ACCEPTED_CLEAN_SAMPLE_NO_RISK_SEMANTIC_KEEP,HIGH,accepted clean sample; no semantic risk flags; full batch029A human/assistant review,Accepted clean sampleを全件確認。表示名・検索語に新規の誤訳/identity/variant問題を認めずKEEP。,PROPOSED
