row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000987,aria_(zenless_zone_zero),3073,アリア（ゼンゼロ）,アリア（ゼンゼロ） | アリア,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-001115,magical_mirai_miku,2809,初音ミク（マジカルミライ）,初音ミク(マジカルミライ) | マジカルミライミク,誤訳候補を避けイベント文脈を明示,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-001250,scaramouche_(kabukimono)_(genshin_impact),2514,傾奇者,傾奇者,公式日本語呼称を採用,FIX_BOTH,スカラマシュ（原神）（kabukimono）,傾奇者,CURATED_VARIANT_RESTORE_BASE_IDENTITY,HIGH,explicit curation note; AUDIT_FIX_DISPLAY; canonical variant diff,監修済みvariant名は検索に保持し、表示だけ検証済み本体名＋canonical識別子へしてidentity欠落を解消。,PROPOSED
I70-001259,little_red_riding_hood_(fairy_tale_character),2504,赤ずきん,赤ずきん,一般的日本語名を採用,FIX_DISPLAY,赤ずきん（fairy tale character）,,CURATED_ADD_CANONICAL_DISAMBIGUATION,HIGH,explicit semantic curation note + canonical qualifier,監修済み表示は維持し、表示だけでは欠けている識別文脈をcanonicalから追記。,PROPOSED
I70-001468,aubrey_(headspace)_(omori),2225,オーブリー（HEADSPACE）,オーブリー | オーブリー(HEADSPACE),作品文脈からキャラクター名を補完,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-001487,female_alear_(fire_emblem),2185,リュール（女性）,リュール(女性) | 女性リュール,公式日本語名と性別区分を明示,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-001841,miyamoto_musashi_(swimsuit_berserker)_(fate),1827,宮本武蔵（水着）,宮本武蔵（水着）,既存日本語候補・Alias・作品文脈を確認して採用,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-002413,suri_alpaca_(kemono_friends),1402,アルパカ・スリ,アルパカ・スリ,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,アルパカ・スリ（kemono friends）,,CURATED_ADD_CANONICAL_DISAMBIGUATION,HIGH,explicit semantic curation note + canonical qualifier,監修済み表示は維持し、表示だけでは欠けている識別文脈をcanonicalから追記。,PROPOSED
I70-002457,ironmouse,1380,Ironmouse,Ironmouse,既存日本語候補・Alias・作品文脈を確認して採用,KEEP,,,CURATED_ACCEPTED_SEMANTIC_DECISION,HIGH,explicit nonblank semantic curation note,既存の監修理由が明記され、追加の具体的identity欠陥がないため監修結果をKEEP。,PROPOSED
I70-002544,kei_(aris)_(blue_archive),1330,ケイ（アリス）,ケイ（アリス） | ケイ | アリス,AI監修：作品内の日本語呼称と識別子を反映して採用,FIX_BOTH,天童ケイ（aris）,ケイ（アリス） | ケイ | アリス,CURATED_VARIANT_RESTORE_BASE_IDENTITY,HIGH,explicit curation note; AUDIT_KEEP; canonical variant diff,監修済みvariant名は検索に保持し、表示だけ検証済み本体名＋canonical識別子へしてidentity欠落を解消。,PROPOSED
I70-002735,l_(death_note),1225,L,L | 竜崎,AI監修：作品関係と既存検索語を確認して採用,FIX_DISPLAY,L（death note）,,CURATED_ADD_CANONICAL_DISAMBIGUATION,HIGH,explicit semantic curation note + canonical qualifier,監修済み表示は維持し、表示だけでは欠けている識別文脈をcanonicalから追記。,PROPOSED
