row_id,canonical_tag,category,category_name,post_count,display_ja,search_ja,translation_status,translation_note,risk_score,risk_flags,impact_tier,audit_bucket,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_posts,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,pattern_id,audit_round,approval_status
I70-036090,hololive_dev_is,3,Copyright,10276,ホロライブDEV_IS,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,ホロライブDEV_IS,,,,,,KEEP,,,UNDERSCORE_IS_BRAND_STYLING,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-036269,the_legend_of_zelda:_ocarina_of_time,3,Copyright,4166,ゼルダの伝説_時のオカリナ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,TOP_10_PERCENT,REVIEW_REQUIRED,,,,ゼルダの伝説_時のオカリナ,,,,,,,FIX_DISPLAY,ゼルダの伝説 時のオカリナ,,OFFICIAL_TITLE_SEPARATOR,HIGH,https://www.nintendo.com/jp/titles/20010000013227.html,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-005378,kei_(m_k),4,Character,595,ケイ（m_k）,ケイ（m_k）,REVIEW_REQUIRED,要確認,11,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,REST,REVIEW_REQUIRED,,,,,,,,,,,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-005573,rika_(m_k),4,Character,571,Rika（m_k）,Rika（m_k）,REVIEW_REQUIRED,要確認,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,,,,,,,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007287,aina_(mao_lian),4,Character,433,アイナ（mao_lian）,アイナ（mao_lian）,REVIEW_REQUIRED,要確認,13,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,REST,REVIEW_REQUIRED,,,,,艾娜 | 艾娜(貓臉),,,,,,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007543,ayunda_risu_(1st_costume),4,Character,397,ayunda_risu_(1st_costume),ayunda_risu_(1st_costume),REVIEW_REQUIRED,要確認,18,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,REVIEW_REQUIRED,,,,,,,,hololive,395,0.994962,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007542,astolfo_(saber)_(first_ascension)_(fate),4,Character,397,astolfo_(saber)_(first_ascension)_(fate),astolfo_(saber)_(first_ascension)_(fate),REVIEW_REQUIRED,要確認,18,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,REVIEW_REQUIRED,,,,,,,,fate_(series),397,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007667,tav_(baldur's_gate),4,Character,389,tav_(baldur's_gate),tav_(baldur's_gate),REVIEW_REQUIRED,要確認,16,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | DISAMBIGUATOR_NOT_VISIBLE,REST,REVIEW_REQUIRED,,,,,,bg3Tav,,baldur's_gate,385,0.989717,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007745,lilith_(statue)_(machikado_mazoku),4,Character,379,lilith_(statue)_(machikado_mazoku),lilith_(statue)_(machikado_mazoku),REVIEW_REQUIRED,要確認,18,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,REVIEW_REQUIRED,,,,,,,,machikado_mazoku,379,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-007805,bronya_zaychik_(outstanding_attitude),4,Character,373,bronya_zaychik_(outstanding_attitude),bronya_zaychik_(outstanding_attitude),REVIEW_REQUIRED,要確認,18,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,REVIEW_REQUIRED,,,,,,,,honkai_(series),373,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-008401,saki_(the_atko),4,Character,348,サキ（the_atko）,サキ（the_atko）,REVIEW_REQUIRED,要確認,13,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,REST,REVIEW_REQUIRED,,,,,サキ（アトコ）,,,,,,FIX_DISPLAY,サキ（アトコ）,,SOURCE_JA_QUALIFIER_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-008730,st_ar-15_(mod3)_(girls'_frontline),4,Character,331,STAR-15_MOD3(ドールズフロントライン),STAR-15MOD3 | STAR-15_MOD3,ACCEPTED_AI,selected from contextual Japanese search evidence,15,RAW_TAG_SYNTAX_IN_DISPLAY | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,ACCEPTED_RISK,,,,STAR-15_MOD3(ドールズフロントライン),STAR-15MOD3 | STAR-15_MOD3,,,girls'_frontline,329,0.993958,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-008954,biwa_hayahide_(pf._winning_equation...)_(umamusume),4,Character,320,ビワハヤヒデ(pf.Victory_formula...),,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,ビワハヤヒデ(pf.Victory_formula...),,,umamusume,318,0.99375,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-012915,kirin_r_yato_(arknights),4,Character,202,麒麟_R_夜刀,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,11,RAW_TAG_SYNTAX_IN_DISPLAY | DISAMBIGUATOR_NOT_VISIBLE,REST,ACCEPTED_RISK,,,,,麒麟_R_夜刀,,,arknights,200,0.990099,FIX_DISPLAY,キリンRヤトウ,,OFFICIAL_CHARACTER_NAME,HIGH,https://arknights.jp/monster-hunter/,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-014629,neko_(neko_to_chiyo),4,Character,172,ねこ_(ねことちよ),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,ねこ_(ねことちよ),,,neko_to_chiyo,171,0.994186,FIX_DISPLAY,ねこ（ねことちよ）,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-014697,schna_jang,4,Character,171,小金(project_moon),,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,小金(project_moon),,,limbus_company,171,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
