row_id,canonical_tag,category_name,post_count,display_ja,search_ja,audit_verdict,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000013,admiral_(kancolle),Character,39004,提督（艦隊これくしょん）,提督（艦隊これくしょん） | 提督(艦隊これくしょん) | 提督,FIX_SEARCH,提督（艦隊これくしょん） | 提督,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000014,sensei_(blue_archive),Character,39001,先生（ブルーアーカイブ）,先生（ブルーアーカイブ） | 先生(ゲマトリア) | 先生(ブルーアーカイブ) | 先生,FIX_SEARCH,先生（ブルーアーカイブ） | 先生(ゲマトリア) | 先生,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000031,kaga_(kancolle),Character,22190,加賀（艦これ）,加賀（艦これ） | い加賀わしい | 加賀(艦これ) | 加賀(艦隊これくしょん) | 加賀,FIX_SEARCH,加賀（艦これ） | い加賀わしい | 加賀(艦隊これくしょん) | 加賀,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000032,warrior_of_light_(ff14),Character,22188,光の戦士（FF14）,光の戦士（FF14） | 光の戦士(FF14) | 光の戦士,FIX_SEARCH,光の戦士（FF14） | 光の戦士,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000041,link,Character,20714,リンク（ゼルダの伝説）,リンク（ゼルダの伝説） | リンク | リンク(ゼルダの伝説) | リンク(ブレスオブザワイルド),FIX_SEARCH,リンク（ゼルダの伝説） | リンク | リンク(ブレスオブザワイルド),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000042,shimakaze_(kancolle),Character,20670,島風（艦これ）,島風（艦これ） | 島風(艦これ) | 島風(艦隊これくしょん) | 島風,FIX_SEARCH,島風（艦これ） | 島風(艦隊これくしょん) | 島風,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000054,hibiki_(kancolle),Character,18039,響（艦これ）,響（艦これ） | 響(艦これ) | 響(艦隊これくしょん),FIX_SEARCH,響（艦これ） | 響(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000061,shigure_(kancolle),Character,17758,時雨（艦これ）,時雨（艦これ） | 時雨(艦これ) | 時雨(艦隊これくしょん) | 時雨くん | 時雨,FIX_SEARCH,時雨（艦これ） | 時雨(艦隊これくしょん) | 時雨くん | 時雨,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000090,trainer_(umamusume),Character,14545,トレーナー（ウマ娘）,トレーナー（ウマ娘） | トレーナー(ウマ娘) | トレーナー(ウマ娘プリティーダービー) | トレーナー,FIX_SEARCH,トレーナー（ウマ娘） | トレーナー(ウマ娘プリティーダービー) | トレーナー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000094,kongou_(kancolle),Character,14043,金剛（艦これ）,金剛（艦これ） | 金剛(艦これ) | 金剛(艦隊これくしょん) | 金剛,FIX_SEARCH,金剛（艦これ） | 金剛(艦隊これくしょん) | 金剛,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
